state,traditional_method,se.traditional_method,year,pred,pred_upper,pred_lower
Africa:Senegal:Dakar,,,1990,0.0059506605056909,0.0104157463212862,0.0033039042464327
Africa:Senegal:Dakar,,,1991,0.0059510730089701,0.0103998013016736,0.0033069472932112
Africa:Senegal:Dakar,,,1992,0.0059515017870321,0.0103858757832093,0.0033100033846084
Africa:Senegal:Dakar,0.0120240480961923,0.0055334826290401,1993,0.0059594471267172,0.0103796407380791,0.0033189147155272
Africa:Senegal:Dakar,,,1994,0.0059387211276023,0.010337997045154,0.0033073823838644
Africa:Senegal:Dakar,,,1995,0.0059254803301459,0.0103053014980327,0.0033014969383078
Africa:Senegal:Dakar,,,1996,0.0059122318742334,0.0102739413858757,0.0032953991780597
Africa:Senegal:Dakar,,,1997,0.0058989816173887,0.0102438826059974,0.0032890772261852
Africa:Senegal:Dakar,,,1998,0.0058857355433647,0.010215088341759,0.0032825207396112
Africa:Senegal:Dakar,,,1999,0.0058724997636628,0.0101875201478913,0.0032757207004166
Africa:Senegal:Dakar,,,2000,0.0058592805003718,0.0101611391705914,0.0032686691707664
Africa:Senegal:Dakar,,,2001,0.0058460840629399,0.0101359071423848,0.0032613590576736
Africa:Senegal:Dakar,,,2002,0.0058329168280248,0.0101117869555716,0.0032537839203141
Africa:Senegal:Dakar,,,2003,0.0058197852271391,0.0100887427831336,0.0032459378360454
Africa:Senegal:Dakar,,,2004,0.0058066957430275,0.0100667398324306,0.0032378153277514
Africa:Senegal:Dakar,0.0019505667534553,0.0019531335857907,2005,0.0057917545226889,0.0100414713431044,0.0032287491433298
Africa:Senegal:Dakar,,,2006,0.005784826339288,0.010034197696178,0.0032224366124556
Africa:Senegal:Dakar,,,2007,0.0057760380858171,0.0100229269465491,0.0032153522912636
Africa:Senegal:Dakar,,,2008,0.0057672884930479,0.0100119372514014,0.0032081625839073
Africa:Senegal:Dakar,,,2009,0.0057585760027589,0.0100012332324577,0.0032008719807359
Africa:Senegal:Dakar,0.0028136074779371,0.002846478048725,2010,0.0057465038406421,0.0099839030567475,0.0031921424122719
