state,traditional_method,se.traditional_method,year,country,pred,pred_upper,pred_lower
Africa:Senegal:Dakar,,,1990,,0.0200269045724963,0.0516106537211386,0.0095415953276611
Africa:Senegal:Dakar,,,1991,,0.0201337127604117,0.0463659727805304,0.0103838287275172
Africa:Senegal:Dakar,,,1992,,0.0202890094784538,0.0406377886720346,0.011363253702509
Africa:Senegal:Dakar,0.0205882352941176,0.0060591664613835,1993,Senegal,0.0206141642834272,0.0340201587930122,0.012432399709004
Africa:Senegal:Dakar,,,1994,,0.0186885015873853,0.035615000931964,0.0107589786507577
Africa:Senegal:Dakar,,,1995,,0.0171592881142646,0.0353302316471902,0.0091905289011425
Africa:Senegal:Dakar,,,1996,,0.0158310085591866,0.034008547804327,0.0078618569887917
Africa:Senegal:Dakar,,,1997,,0.0146419243963536,0.0320285960826982,0.0067859345841411
Africa:Senegal:Dakar,,,1998,,0.0135568515893817,0.0296127502050495,0.005927712304604
Africa:Senegal:Dakar,,,1999,,0.0125541716821569,0.0269995411375864,0.0052376357141624
Africa:Senegal:Dakar,,,2000,,0.0116183874206443,0.024272178551296,0.0046902486041253
Africa:Senegal:Dakar,,,2001,,0.0107362717320265,0.0216611260982796,0.0042574733121125
Africa:Senegal:Dakar,,,2002,,0.0098961627749541,0.0192559332475417,0.0039226839459422
Africa:Senegal:Dakar,,,2003,,0.0090823832548968,0.0170332904574528,0.0036792380060097
Africa:Senegal:Dakar,,,2004,,0.0082778063572198,0.0150733385159265,0.0035342302027473
Africa:Senegal:Dakar,0.0015547175101007,0.0015455828979687,2005,Senegal,0.0074691750167199,0.0136621794497076,0.0035388149602788
Africa:Senegal:Dakar,,,2006,,0.0076654100529465,0.0139067837632397,0.0033592646245645
Africa:Senegal:Dakar,,,2007,,0.007804429503091,0.0141171665125369,0.0033665874130924
Africa:Senegal:Dakar,,,2008,,0.0079108944568113,0.0141419944526691,0.0035093244461725
Africa:Senegal:Dakar,,,2009,,0.0079858287843824,0.0138187376939724,0.0038010892437195
Africa:Senegal:Dakar,0.0085051077214112,0.0051350147689174,2010,Senegal,0.0080220768083112,0.0132036388017259,0.0043279497761555
Africa:Senegal:Dakar,,,2011,,0.0086814383563835,0.0144472931273106,0.0046166808705416
Africa:Senegal:Dakar,0.0059724352994309,0.0058370214538386,2012,Senegal,0.0093163476976534,0.015307047243059,0.0052477415660503
Africa:Senegal:Dakar,,,2013,,0.0093746153061204,0.0159218264130209,0.0051632489584891
Africa:Senegal:Dakar,0.0107443816481919,0.0105656973042068,2014,Senegal,0.0094331453905588,0.0152782292592345,0.0054068904181362
Africa:Senegal:Dakar,0.0,0.0,2015,Senegal,0.0091079007307207,0.0146141807008133,0.0051171660117988
Africa:Senegal:Dakar,0.0,0.0,2016,Senegal,0.0091464597743549,0.0145801464164048,0.0052588883382476
Africa:Senegal:Dakar,0.0072929287901002,0.0035750586571856,2017,Senegal,0.0086325749773172,0.0135501626835055,0.0049494622088843
Africa:Senegal:Dakar,0.0,0.0,2018,Senegal,0.0095763753724138,0.0155667761535091,0.0055032666655056
Africa:Senegal:Dakar,0.0,0.0,2019,Senegal,0.0100950465937439,0.0177470217053439,0.0055910520348111
Africa:Senegal:Dakar,,,2020,,0.0100730244981514,0.020541146687203,0.0049759012642673
Africa:Senegal:Dakar,,,2021,,0.0100660797666003,0.0230930753046597,0.0044932946416457
Africa:Senegal:Dakar,,,2022,,0.0100628619116802,0.025567612405723,0.0040971156594171
Africa:Senegal:Dakar,,,2023,,0.0100606260932541,0.0279847279443372,0.003770027088946
Africa:Senegal:Dakar,,,2024,,0.0100597735827982,0.0303749528225893,0.0034881682381841
Africa:Senegal:Dakar,,,2025,,0.0100585256694438,0.032757047746484,0.0032422471578239
Africa:Senegal:Sédhiou,,,1990,,0.0282577101609458,0.0847978018937506,0.0122107247565187
Africa:Senegal:Sédhiou,,,1991,,0.0284387853922999,0.0773569408465948,0.0129945023679681
Africa:Senegal:Sédhiou,,,1992,,0.0286721184207666,0.0696257196131795,0.0138300160622694
Africa:Senegal:Sédhiou,0.1,0.0,1993,Senegal,0.0290540456869804,0.0614391316409791,0.0146489096420018
Africa:Senegal:Sédhiou,,,1994,,0.0263340119515503,0.0612342069122546,0.0132704980454313
Africa:Senegal:Sédhiou,,,1995,,0.0240684856060408,0.059296625968328,0.0118444613915431
Africa:Senegal:Sédhiou,,,1996,,0.0220946423257916,0.0562786193016746,0.0105188556582993
Africa:Senegal:Sédhiou,,,1997,,0.0203429263260044,0.052532776776582,0.0093285067910854
Africa:Senegal:Sédhiou,,,1998,,0.0187707123088903,0.0483550998690946,0.0083004366691957
Africa:Senegal:Sédhiou,,,1999,,0.0173465884945985,0.0439289088962169,0.0074422547958525
Africa:Senegal:Sédhiou,,,2000,,0.0160437820339929,0.039425156005895,0.0067363717234158
Africa:Senegal:Sédhiou,,,2001,,0.0148404049898034,0.0349706036971731,0.0061698545967683
Africa:Senegal:Sédhiou,,,2002,,0.0137192691864937,0.0307115165211267,0.0057292270050764
Africa:Senegal:Sédhiou,,,2003,,0.0126646074513208,0.0268022983321457,0.0054113107654999
Africa:Senegal:Sédhiou,,,2004,,0.0116558778800568,0.0233902378365293,0.0052253934920736
Africa:Senegal:Sédhiou,0.0,0.0,2005,Senegal,0.0106404265818572,0.0204851127463004,0.0052434107435077
Africa:Senegal:Sédhiou,,,2006,,0.010854574647154,0.0211365133490331,0.0050329625387023
Africa:Senegal:Sédhiou,,,2007,,0.0110010116097852,0.0215336961246042,0.0050684096807542
Africa:Senegal:Sédhiou,,,2008,,0.0111169460728883,0.0215398606627436,0.0052981547548391
Africa:Senegal:Sédhiou,,,2009,,0.0112111176455826,0.0210478727032754,0.0057473797427249
Africa:Senegal:Sédhiou,0.0089233951197336,0.0086859614111746,2010,Senegal,0.011270411522669,0.0199318635906424,0.0065588960181832
