state,unmet_need,se.unmet_need,year,country,pred,pred_upper,pred_lower
Africa:Senegal:Dakar,,,1990,,0.118238259056954,0.170552097813021,0.0809986360493394
Africa:Senegal:Dakar,,,1991,,0.1182605185451177,0.1649095827481763,0.0839097319960981
Africa:Senegal:Dakar,,,1992,,0.1182966360354666,0.1588085298973851,0.0872053117985635
Africa:Senegal:Dakar,0.2222222222222222,0.1754158915775854,1993,Senegal,0.1183605084411109,0.1516857088096421,0.0912371893414805
Africa:Senegal:Dakar,,,1994,,0.118529143007509,0.157800803805013,0.088139401999458
Africa:Senegal:Dakar,,,1995,,0.1187220544512503,0.1622109524702115,0.0861022806599674
Africa:Senegal:Dakar,,,1996,,0.1189273498983773,0.1655443570418267,0.0847092557461341
Africa:Senegal:Dakar,,,1997,,0.1191378202631048,0.1679040974256917,0.0838534202107481
Africa:Senegal:Dakar,,,1998,,0.1193516029483712,0.1693129367383574,0.0835103456550671
Africa:Senegal:Dakar,,,1999,,0.1195686633651554,0.1698450559656995,0.0835816847422026
Africa:Senegal:Dakar,,,2000,,0.119789561955125,0.1695085644505107,0.0841214825199267
Africa:Senegal:Dakar,,,2001,,0.1200156729295252,0.1682672493543446,0.0851120510494252
Africa:Senegal:Dakar,,,2002,,0.1202495471117789,0.1660528235721379,0.0866578708261571
Africa:Senegal:Dakar,,,2003,,0.1204964920065392,0.162704995233349,0.0887708937972059
Africa:Senegal:Dakar,,,2004,,0.1207711125752759,0.1580277707668761,0.0916694968152756
Africa:Senegal:Dakar,0.0873845368441541,0.0253883458995271,2005,Senegal,0.1212142289338601,0.1513142845156001,0.0959112333706224
Africa:Senegal:Dakar,,,2006,,0.1192610705655932,0.154845396853163,0.0912211111891479
Africa:Senegal:Dakar,,,2007,,0.1175069738341049,0.1550745018103599,0.0885265460648333
Africa:Senegal:Dakar,,,2008,,0.1158101286283287,0.1528190888846952,0.0872229515141278
Africa:Senegal:Dakar,,,2009,,0.1141633377736441,0.1481812955117745,0.087289866393589
Africa:Senegal:Dakar,0.1350601098452583,0.0511065973508698,2010,Senegal,0.1125907708719426,0.1405451419301369,0.0891571026301953
Africa:Senegal:Dakar,,,2011,,0.1113143260811451,0.1425146292831463,0.0863194568678923
Africa:Senegal:Dakar,0.0494016332205687,0.0260709055677878,2012,Senegal,0.1103047370621949,0.1382637305495067,0.087050816222871
Africa:Senegal:Dakar,,,2013,,0.1064124715218818,0.1367394464485755,0.0824000378609169
Africa:Senegal:Dakar,0.0891382569781511,0.0723347958615967,2014,Senegal,0.1030757576911977,0.1295955564648841,0.0811958636093939
Africa:Senegal:Dakar,0.0683643533875113,0.0403423166335894,2015,Senegal,0.0948551153141547,0.1191074862875971,0.0747460457557926
Africa:Senegal:Dakar,0.0550356897623152,0.031245009886947,2016,Senegal,0.0929948603520133,0.1165880655831499,0.0734459625223109
Africa:Senegal:Dakar,0.0,0.0,2017,Senegal,0.0947086862424448,0.1192318636445024,0.0746228717233751
Africa:Senegal:Dakar,0.090669291030124,0.0196630268837847,2018,Senegal,0.0793321770009663,0.0994992216220368,0.0626471366500149
Africa:Senegal:Dakar,0.0900804555752656,0.0236165624111405,2019,Senegal,0.0803089941057016,0.1009988477626464,0.0632938909145831
Africa:Senegal:Dakar,,,2020,,0.0803387285937776,0.1063371416034431,0.0600120413342935
Africa:Senegal:Dakar,,,2021,,0.0803528541957158,0.1109563315114499,0.057412770468899
Africa:Senegal:Dakar,,,2022,,0.0803651691104368,0.115232160825498,0.0552036008463726
Africa:Senegal:Dakar,,,2023,,0.0803738132767046,0.1192281805603421,0.0532407800181122
Africa:Senegal:Dakar,,,2024,,0.0803794630503326,0.1229535981372964,0.0514851436822548
Africa:Senegal:Dakar,,,2025,,0.0803828342319251,0.1265861315004374,0.0499043756844912
Africa:Senegal:Sédhiou,,,1990,,0.1796097542488485,0.2407718038997156,0.1315098082203278
Africa:Senegal:Sédhiou,,,1991,,0.1796062771837665,0.2323199044103121,0.1369003795560587
Africa:Senegal:Sédhiou,,,1992,,0.1795999440688462,0.2227214267022486,0.1433562571246151
Africa:Senegal:Sédhiou,0.1744186046511628,0.0455268943269679,1993,Senegal,0.1795885179229014,0.2106874436854976,0.1522668446730454
Africa:Senegal:Sédhiou,,,1994,,0.1799496728500963,0.221127477743079,0.1451488553362692
Africa:Senegal:Sédhiou,,,1995,,0.1803000830839424,0.2282883987917225,0.1409122708305313
Africa:Senegal:Sédhiou,,,1996,,0.1806457863190633,0.2334671578835001,0.1381210710303155
Africa:Senegal:Sédhiou,,,1997,,0.1809882945039582,0.2370201712081395,0.1364220154586639
Africa:Senegal:Sédhiou,,,1998,,0.181329715838897,0.2392149481989294,0.1356922877771888
Africa:Senegal:Sédhiou,,,1999,,0.1816715317217454,0.2400665883819524,0.1357799919436221
Africa:Senegal:Sédhiou,,,2000,,0.1820149491545425,0.2396153858314339,0.1367074356110859
Africa:Senegal:Sédhiou,,,2001,,0.1823611309252506,0.2378095244805316,0.1385264535008902
Africa:Senegal:Sédhiou,,,2002,,0.1827119107782023,0.2344824121462666,0.1413384478463867
Africa:Senegal:Sédhiou,,,2003,,0.1830709295817114,0.2293618951454163,0.1454847004373867
Africa:Senegal:Sédhiou,,,2004,,0.1834477248030101,0.2217588271299101,0.1514250000804802
Africa:Senegal:Sédhiou,0.2356669487957109,0.0472238932884837,2005,Senegal,0.1840296973038873,0.2094320669115811,0.1613675794821728
Africa:Senegal:Sédhiou,,,2006,,0.181205780661536,0.2167347125027669,0.1511759967988594
