state,unmet_need,se.unmet_need,year,pred,pred_upper,pred_lower
Africa:Senegal:Dakar,,,1990,0.1045676748319434,0.1509754213617341,0.0712669325142345
Africa:Senegal:Dakar,,,1991,0.1045178029534925,0.1435733638064272,0.0751805782895909
Africa:Senegal:Dakar,,,1992,0.1044178531272589,0.1350826825029205,0.0800727746992671
Africa:Senegal:Dakar,0.1015965166908563,0.0101068450573529,1993,0.1042588702903844,0.1242186138853699,0.0871965437766715
Africa:Senegal:Dakar,,,1994,0.1051787323703695,0.1342867339485533,0.0818875951330989
Africa:Senegal:Dakar,,,1995,0.1060387709227749,0.1414280353572067,0.0789552818860049
Africa:Senegal:Dakar,,,1996,0.1068518985576315,0.1468245319737758,0.0771899570296814
Africa:Senegal:Dakar,,,1997,0.1076187005084338,0.150883780215318,0.0762146204503462
Africa:Senegal:Dakar,,,1998,0.1083390324032633,0.1536822197352542,0.0758871378122229
Africa:Senegal:Dakar,,,1999,0.1090125425871083,0.155296018862509,0.0761202176878859
Africa:Senegal:Dakar,,,2000,0.1096389078485951,0.1557296859346661,0.0768943600636556
Africa:Senegal:Dakar,,,2001,0.1102180504557372,0.1549305060673609,0.0782480792500359
Africa:Senegal:Dakar,,,2002,0.1107504835752105,0.152819880735343,0.0802927094855866
Africa:Senegal:Dakar,,,2003,0.1112380442678561,0.1491739745499102,0.0831756909510832
Africa:Senegal:Dakar,,,2004,0.1116867583902339,0.1435919667550483,0.0873136145875228
Africa:Senegal:Dakar,0.1135642462569279,0.0133727022446185,2005,0.1122111562971079,0.1347740591178985,0.093938016928258
Africa:Senegal:Dakar,,,2006,0.1091595148580446,0.139054413174113,0.0863268809006145
Africa:Senegal:Dakar,,,2007,0.1062426516998964,0.1389636870131435,0.0819361584301972
Africa:Senegal:Dakar,,,2008,0.1033517524620806,0.1359088397728803,0.0794694395304532
Africa:Senegal:Dakar,,,2009,0.1004797749646024,0.1301316748031387,0.0787468865638826
Africa:Senegal:Dakar,0.1394260215326752,0.0230405372640537,2010,0.0975853355203397,0.1212134727735411,0.0803501487436405
Africa:Senegal:Dakar,,,2011,0.0920630935351845,0.1161149713845819,0.0740339442802411
Africa:Senegal:Dakar,0.1010377877114155,0.0175637526761494,2012,0.0868374342397596,0.1055391426036879,0.072215479393034
Africa:Senegal:Dakar,,,2013,0.0770623937519774,0.0959982532876522,0.061917109497354
Africa:Senegal:Dakar,0.0702881972148954,0.0182170999365827,2014,0.0683267688799367,0.0827724781061658,0.0559931455235962
